gid_1,cgfr_10
AFG.10_1,0.1299
AFG.11_1,0.1393
AFG.12_1,0.1471
AFG.13_1,0.1497
AFG.14_1,0.2222
AFG.15_1,0.2576
AFG.16_1,0.2383
AFG.17_1,0.24
AFG.18_1,0.2814
AFG.19_1,0.1679
AFG.1_1,0.1502
AFG.20_1,0.3023
AFG.21_1,0.2127
AFG.22_1,0.3431
AFG.23_1,0.2037
AFG.25_1,0.2543
AFG.26_1,0.2356
AFG.27_1,0.237
AFG.28_1,0.2007
AFG.29_1,0.1691
AFG.2_1,0.1562
AFG.30_1,0.2499
AFG.31_1,0.1383
AFG.32_1,0.4113
AFG.33_1,0.2952
AFG.34_1,0.1902
AFG.3_1,0.1577
AFG.4_1,0.1882
AFG.5_1,0.1946
AFG.6_1,0.2394
AFG.7_1,0.1221
AFG.8_1,0.1348
AFG.9_1,0.1245
AGO.10_1,0.515
AGO.11_1,0.5023
AGO.12_1,0.486
AGO.13_1,0.4801
AGO.14_1,0.4481
AGO.15_1,0.4829
AGO.16_1,0.4798
AGO.17_1,0.4628
AGO.18_1,0.5169
AGO.1_1,0.466
AGO.2_1,0.4661
AGO.3_1,0.4906
AGO.4_1,0.55
AGO.5_1,0.5109
AGO.6_1,0.4428
AGO.7_1,0.4497
AGO.8_1,0.4986
AGO.9_1,0.4992
ALB.10_1,0.3765
ALB.11_1,0.4058
ALB.12_1,0.4097
ALB.1_1,0.4428
ALB.2_1,0.4026
ALB.3_1,0.4038
ALB.4_1,0.4419
ALB.5_1,0.4097
ALB.6_1,0.4068
ALB.7_1,0.4222
ALB.8_1,0.2784
ALB.9_1,0.3943
ARG.10_1,0.6176
ARG.11_1,0.5603
ARG.12_1,0.6391
ARG.13_1,0.6071
ARG.15_1,0.5911
ARG.16_1,0.5675
ARG.17_1,0.6429
ARG.18_1,0.6212
ARG.19_1,0.5937
ARG.1_1,0.594
ARG.21_1,0.5792
ARG.22_1,0.7044
ARG.23_1,0.5868
ARG.24_1,0.6314
ARG.2_1,0.6535
ARG.5_1,0.6371
ARG.6_1,0.5936
ARG.7_1,0.6657
ARG.8_1,0.5899
ARG.9_1,0.6887
ARM.10_1,0.4963
